run_id,axis,params,CESI_1980,CESI_2023,max_dd,crit_A,crit_C,rank_corr_vs_base,delta_vs_base_pct
wI-0.10,weights,"{'weights': (0.45, 0.33749999999999997, 0.1, 0.1125)}",100.000,587.584,1.435,1,1,1.0000,-3.93
wI-0.05,weights,"{'weights': (0.42500000000000004, 0.31875, 0.15000000000000002, 0.10625000000000001)}",100.000,599.600,1.478,1,1,1.0000,-1.96
wI+0.05,weights,"{'weights': (0.375, 0.28125, 0.25, 0.09375)}",100.000,623.632,1.565,1,1,1.0000,+1.96
wI+0.10,weights,"{'weights': (0.35, 0.26249999999999996, 0.30000000000000004, 0.0875)}",100.000,635.648,1.609,1,1,1.0000,+3.93
wI+0.15,weights,"{'weights': (0.325, 0.24375, 0.35, 0.08125)}",100.000,647.664,1.652,1,1,0.9997,+5.89
wI+0.20,weights,"{'weights': (0.3, 0.22499999999999995, 0.4, 0.075)}",100.000,659.680,1.696,1,1,0.9989,+7.86
wI+0.30,weights,"{'weights': (0.25, 0.1875, 0.5, 0.0625)}",100.000,683.712,1.783,1,1,0.9987,+11.79
wP-0.05,weights,"{'weights': (0.4222222222222223, 0.31666666666666665, 0.21111111111111114, 0.05)}",100.000,621.506,1.496,1,1,1.0000,+1.62
wP+0.05,weights,"{'weights': (0.37777777777777777, 0.2833333333333333, 0.18888888888888888, 0.15000000000000002)}",100.000,601.726,1.548,1,1,1.0000,-1.62
wP+0.10,weights,"{'weights': (0.3555555555555556, 0.26666666666666666, 0.1777777777777778, 0.2)}",100.000,591.836,1.574,1,1,1.0000,-3.23
wP+0.15,weights,"{'weights': (0.3333333333333333, 0.24999999999999997, 0.16666666666666666, 0.25)}",100.000,581.946,1.600,1,1,1.0000,-4.85
wP+0.20,weights,"{'weights': (0.3111111111111111, 0.23333333333333328, 0.15555555555555556, 0.30000000000000004)}",100.000,572.056,1.626,1,1,1.0000,-6.47
wP+0.30,weights,"{'weights': (0.26666666666666666, 0.19999999999999998, 0.13333333333333333, 0.4)}",100.000,552.276,1.678,1,1,0.9999,-9.70
equal_025,weights,"{'weights': (0.25, 0.25, 0.25, 0.25)}",100.000,610.642,1.613,1,1,1.0000,-0.16
E_dominant,weights,"{'weights': (0.7, 0.15, 0.1, 0.05)}",100.000,535.568,1.790,1,1,0.9997,-12.43
X_dominant,weights,"{'weights': (0.15, 0.7, 0.1, 0.05)}",100.000,692.900,0.760,1,1,0.9990,+13.29
I_dominant,weights,"{'weights': (0.1, 0.15, 0.7, 0.05)}",100.000,742.179,1.886,1,1,0.9976,+21.35
P_dominant,weights,"{'weights': (0.1, 0.15, 0.05, 0.7)}",100.000,501.500,1.738,1,1,0.9987,-18.00
EX_heavy,weights,"{'weights': (0.45, 0.45, 0.05, 0.05)}",100.000,604.168,1.220,1,1,0.9994,-1.22
IP_heavy,weights,"{'weights': (0.05, 0.05, 0.45, 0.45)}",100.000,617.116,2.006,1,1,0.9986,+0.90
haircut_00pct,haircut,{'haircut': 0.0},100.000,458.712,6.201,0,0,0.9708,-25.00
haircut_05pct,haircut,{'haircut': 0.05},100.000,482.855,2.513,1,1,0.9865,-21.05
haircut_10pct,haircut,{'haircut': 0.1},100.000,509.680,1.522,1,1,0.9956,-16.67
haircut_15pct,haircut,{'haircut': 0.15},100.000,539.661,1.522,1,1,0.9989,-11.76
haircut_20pct,haircut,{'haircut': 0.2},100.000,573.390,1.522,1,1,1.0000,-6.25
haircut_25pct,haircut,{'haircut': 0.25},100.000,611.616,1.522,1,1,1.0000,+0.00
haircut_30pct,haircut,{'haircut': 0.3},100.000,655.303,1.522,1,1,1.0000,+7.14
haircut_35pct,haircut,{'haircut': 0.35},100.000,705.711,1.522,1,1,1.0000,+15.38
haircut_40pct,haircut,{'haircut': 0.4},100.000,764.520,1.522,1,1,1.0000,+25.00
eroi_baseline,eroi,"{'eroi_points': {1980: 25.0, 1992: 22.0, 2000: 18.0, 2006: 16.0, 2010: 15.0, 2015: 12.0, 2020: 10.0, 2023: 9.0}, 'eroi_array_keys': None}",100.000,611.616,1.522,1,1,1.0000,+0.00
eroi_end-20pct,eroi,"{'eroi_points': {1980: 25.0, 1992: 21.6625, 2000: 17.2125, 2006: 14.987499999999999, 2010: 13.875, 2015: 10.5375, 2020: 8.3125, 2023: 7.199999999999999}, 'eroi_array_keys': None}",100.000,764.520,1.522,1,1,1.0000,+25.00
eroi_end-10pct,eroi,"{'eroi_points': {1980: 25.0, 1992: 21.83125, 2000: 17.606250000000003, 2006: 15.49375, 2010: 14.4375, 2015: 11.26875, 2020: 9.156250000000002, 2023: 8.100000000000001}, 'eroi_array_keys': None}",100.000,679.573,1.522,1,1,1.0000,+11.11
eroi_end+10pct,eroi,"{'eroi_points': {1980: 25.0, 1992: 22.16875, 2000: 18.39375, 2006: 16.50625, 2010: 15.5625, 2015: 12.731250000000001, 2020: 10.84375, 2023: 9.9}, 'eroi_array_keys': None}",100.000,556.014,1.522,1,1,1.0000,-9.09
eroi_end+20pct,eroi,"{'eroi_points': {1980: 25.0, 1992: 22.3375, 2000: 18.7875, 2006: 17.0125, 2010: 16.125, 2015: 13.462499999999999, 2020: 11.687499999999998, 2023: 10.799999999999999}, 'eroi_array_keys': None}",100.000,509.680,1.522,1,1,1.0000,-16.67
eroi_all_m10pct,eroi,"{'eroi_points': {1980: 22.5, 1992: 19.8, 2000: 16.2, 2006: 14.4, 2010: 13.5, 2015: 10.8, 2020: 9.0, 2023: 8.1}, 'eroi_array_keys': None}",100.000,611.616,1.522,1,1,1.0000,+0.00
eroi_all_p10pct,eroi,"{'eroi_points': {1980: 27.500000000000004, 1992: 24.200000000000003, 2000: 19.8, 2006: 17.6, 2010: 16.5, 2015: 13.200000000000001, 2020: 11.0, 2023: 9.9}, 'eroi_array_keys': None}",100.000,611.616,1.522,1,1,1.0000,+0.00
eroi_pchip_smooth,eroi,"{'eroi_points': None, 'eroi_array_keys': 'PCHIP'}",100.000,611.616,0.844,1,1,0.9952,+0.00
